month,frontier_performance_per_price_usd,index_2024_01,performance_column,price_column,price_basis,calibration_label
2024-01,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-02,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-03,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-04,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-05,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-06,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-07,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-08,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-09,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-10,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-11,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2024-12,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-01,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-02,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-03,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-04,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-05,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-06,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-07,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-08,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-09,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-10,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
2025-11,206378986866.79175,1.0,Tensor-FP16/BF16 performance (FLOP/s),Release price (USD),NOMINAL_RELEASE_USD_PREVIEW_NOT_FINAL_IF_07_DEFLATOR,EXPLORATORY_PIPELINE_CALIBRATION_NOT_CONFIRMATORY_EVIDENCE
